-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,Encapsulin MGYP,Pfam -10,Pfam -9,Pfam -8,Pfam -7,Pfam -6,Pfam -5,Pfam -4,Pfam -3,Pfam -2,Pfam -1,Pfam 1,Pfam 2,Pfam 3,Pfam 4,Pfam 5,Pfam 6,Pfam 7,Pfam 8,Pfam 9,Pfam 10
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
,,,,,,,MGYP000799353418,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
,,,,,,,,MGYP001523103200,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
,,,MGYP001516485760,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000581053285,MGYP000502639159,MGYP000250651428,MGYP000740147896,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],['CL0084'],[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000156291916,MGYP000666430816,MGYP000115011443,MGYP000740147896,MGYP000250651428,MGYP000581053285,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000141552158,MGYP000672328750,MGYP000767882817,MGYP000177000980,MGYP000483724504,MGYP000433473082,MGYP000156291697,MGYP000525657859,MGYP000468859969,[],[],[],['CL0084'],['PF20155'],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],"['PF03747', 'CL0525']",[]
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP001515396311,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
,,,,,MGYP001531189021,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000581053285,MGYP000250651428,MGYP000740147896,MGYP001518696105,MGYP000666430816,MGYP000156291916,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],['PF20155'],['CL0084'],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000740147896,MGYP000250651428,MGYP000502639159,MGYP000581053285,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000141552158,MGYP000672328750,MGYP001518380092,,,,,,MGYP000468859969,[],[],['CL0084'],['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP001543215220,,,,,,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
,,,,,,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000581053285,MGYP000502639159,MGYP000250651428,MGYP000740147896,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],['CL0084'],[],[]
,,,MGYP001508910925,MGYP000625269363,MGYP000333221445,MGYP000672328750,MGYP000684129701,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000356811143,MGYP000392191400,MGYP000250651428,MGYP000003078865,MGYP000115011443,MGYP000666430816,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],['PF20155'],"['CL0137', 'CL0137']",[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP001508910925,,,,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000156291916,MGYP000666430816,MGYP000115011443,MGYP000740147896,MGYP000250651428,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000141552158,MGYP000672328750,MGYP000333221445,MGYP000026554099,MGYP000268355807,MGYP000044244217,MGYP000672328974,MGYP000177000980,MGYP000468859969,[],[],[],['CL0084'],['PF20155'],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000003078865,MGYP000250651428,MGYP000392191400,MGYP000356811143,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000684129701,MGYP000672328750,MGYP000333221445,MGYP000625269363,MGYP000259506410,MGYP000589767477,MGYP000613361881,MGYP000177000980,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000740147896,MGYP000250651428,MGYP000502639159,MGYP000581053285,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,,,,,,,,,MGYP000468859969,[],[],['CL0084'],['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000661222200,MGYP000431210305,MGYP000681503222,MGYP000616994307,MGYP000575346993,MGYP000009540438,MGYP000257238908,MGYP000171723224,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000740474117,MGYP000224443538,MGYP000333221445,MGYP000460268576,,,,,MGYP000468859969,[],[],[],[],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000177000980,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000288993094,MGYP000380396709,MGYP000581053285,MGYP000250651428,MGYP000740147896,MGYP000115011443,MGYP000666430816,MGYP000156291916,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],['PF20155'],['CL0084'],[],[],[]
MGYP000661222200,MGYP000431210305,MGYP000681503222,MGYP000616994307,MGYP000575346993,MGYP000009540438,MGYP000257238908,MGYP000171723224,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000740474117,MGYP000224443538,MGYP000333221445,MGYP000460268576,,,,,MGYP000468859969,[],[],[],[],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP000740147896,MGYP000250651428,MGYP000392191400,MGYP000581053285,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000141552158,MGYP000672328750,MGYP000333221445,MGYP000026554099,MGYP000044244217,MGYP000672328974,MGYP000177000980,,MGYP000468859969,[],[],['CL0084'],['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP000177000980,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000032451001,MGYP000132707649,MGYP000566179317,MGYP000684132331,MGYP003155880677,MGYP000380486633,MGYP000588840596,MGYP000297168574,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],[],[],[],[]
MGYP003158568905,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000032451001,MGYP000132707649,MGYP000566179317,MGYP000684132331,MGYP003155880677,MGYP000380486633,MGYP000588840596,MGYP000297168574,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],[],[],[],[]
MGYP001512728475,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000032451001,MGYP000132707649,MGYP000566179317,MGYP000162202571,MGYP000492620261,MGYP000684132331,MGYP003155880677,MGYP000380486633,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],[],[],[],[]
,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000032451001,MGYP000132707649,MGYP000566179317,MGYP000162202571,MGYP000492620261,MGYP000684132331,MGYP003155880677,MGYP000380486633,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],[],[],[],[]
MGYP001512728475,MGYP000672328974,MGYP000044244217,MGYP000268355807,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP000032451001,MGYP000132707649,MGYP000566179317,MGYP000162202571,MGYP000492620261,MGYP003171139310,MGYP003155880677,MGYP000380486633,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],[],[],[],[],[]
MGYP000483724504,MGYP000177000980,MGYP000672328974,MGYP000044244217,MGYP000026554099,MGYP000333221445,MGYP000672328750,MGYP000141552158,MGYP000185778279,MGYP000221164263,MGYP000716561685,MGYP000604513408,MGYP003198954536,MGYP000380396709,MGYP000581053285,MGYP003198954609,MGYP000740147896,MGYP000115011443,MGYP000666430816,MGYP000156291916,MGYP000468859969,[],[],[],[],[],[],[],[],['CL0235'],[],[],[],[],[],['CL0116'],['PF20155'],['CL0084'],[],[],[]
MGYP000666430816,MGYP000115011443,MGYP003212945926,MGYP000250651428,MGYP000392191400,MGYP000581053285,MGYP000380396709,MGYP000288993094,MGYP000604513408,MGYP000716561685,MGYP000221164263,MGYP000185778279,MGYP000141552158,MGYP000672328750,MGYP000333221445,MGYP000026554099,MGYP000268355807,MGYP000044244217,MGYP000672328974,MGYP000177000980,MGYP000468859969,[],[],"['CL0137', 'CL0137']",['PF20155'],[],['CL0116'],[],[],[],[],[],['CL0235'],[],[],[],[],[],[],[],[]
MGYP003354777405,MGYP000426142182,MGYP000092937552,MGYP000461530091,MGYP000103497054,MGYP000681459020,MGYP000209643216,MGYP000688592345,MGYP000626670446,MGYP000660816108,MGYP000483883161,MGYP000141834679,MGYP000224398956,MGYP000262511069,MGYP000050417791,MGYP000691541964,MGYP000493966985,MGYP000269868648,MGYP003355951020,MGYP000620771242,MGYP000469141389,[],[],"['CL0023', 'CL0023', 'PF13707']",['PF13175'],[],[],['CL0123'],"['CL0479', 'CL0479']",['CL0169'],[],['PF01343'],[],[],"['CL0123', 'PF05272', 'PF12990']",['PF01695'],[],[],[],[],[]
MGYP000620771242,MGYP003355951020,MGYP000269868648,MGYP000493966985,MGYP000691541964,MGYP000050417791,MGYP000262511069,MGYP000224398956,MGYP000141834679,MGYP000483883161,MGYP000660816108,MGYP000626670446,MGYP000688592345,MGYP000209643216,MGYP000681459020,MGYP000103497054,MGYP000461530091,MGYP000092937552,MGYP003355910775,MGYP000426142182,MGYP000469141389,[],[],[],[],[],['PF01695'],"['CL0123', 'PF05272', 'PF12990']",[],[],['PF01343'],[],['CL0169'],"['CL0479', 'CL0479']",['CL0123'],[],[],['PF13175'],"['CL0023', 'CL0023', 'PF13707']",[],[]
MGYP000620771242,MGYP003355951020,MGYP000269868648,MGYP000493966985,MGYP000691541964,MGYP000050417791,MGYP000262511069,MGYP000224398956,MGYP000141834679,MGYP000483883161,MGYP000660816108,MGYP000626670446,MGYP000688592345,MGYP000209643216,MGYP000681459020,MGYP000103497054,MGYP000461530091,MGYP000092937552,MGYP003355910775,MGYP000426142182,MGYP000469141389,[],[],[],[],[],['PF01695'],"['CL0123', 'PF05272', 'PF12990']",[],[],['PF01343'],[],['CL0169'],"['CL0479', 'CL0479']",['CL0123'],[],[],['PF13175'],"['CL0023', 'CL0023', 'PF13707']",[],[]
MGYP003276442332,MGYP000366773499,MGYP000266500704,MGYP000584987427,MGYP000735338783,MGYP000142639594,MGYP000369693991,MGYP000635120334,MGYP000295990535,MGYP000054186369,MGYP000346145164,MGYP003276442749,MGYP000033534033,MGYP000531888983,MGYP003276442883,MGYP001751839312,MGYP003276442903,MGYP003276442912,MGYP003283946534,MGYP000697044974,MGYP000469965527,"['PF00702', 'PF00122', 'PF00403', 'PF00403', 'PF00403', 'PF00403']",['PF02583'],"['PF13083', 'PF14804', 'PF01424']",['PF02096'],['PF01809'],['PF00825'],[],['PF04015'],"['PF02579', 'PF02001']",['PF03232'],['PF01235'],[],[],[],"['PF03212', 'CL0268', 'PF03797']",[],[],"['PF03797', 'PF03212']",[],[]
MGYP003276442332,MGYP000366773499,MGYP000266500704,MGYP000584987427,MGYP000735338783,MGYP000142639594,MGYP000369693991,MGYP000635120334,MGYP000295990535,MGYP000054186369,MGYP000346145164,MGYP003276442749,MGYP000033534033,MGYP000531888983,MGYP003276442883,MGYP001751839312,MGYP003276442903,MGYP003276442912,MGYP003283946534,MGYP000697044974,MGYP000469965527,"['PF00702', 'PF00122', 'PF00403', 'PF00403', 'PF00403', 'PF00403']",['PF02583'],"['PF13083', 'PF14804', 'PF01424']",['PF02096'],['PF01809'],['PF00825'],[],['PF04015'],"['PF02579', 'PF02001']",['PF03232'],['PF01235'],[],[],[],"['PF03212', 'CL0268', 'PF03797']",[],[],"['PF03797', 'PF03212']",[],[]
MGYP000367174618,MGYP000275773572,MGYP000036913268,MGYP000585386009,MGYP000429094787,MGYP000225638236,MGYP000110632586,MGYP000255122806,MGYP003354679454,MGYP000446789797,MGYP000178453130,MGYP000405501157,MGYP000113583239,MGYP000078202601,MGYP000172555778,MGYP000237428829,MGYP000437944519,MGYP000166660502,MGYP000048708897,MGYP000405501255,MGYP000488071151,['PF00583'],['PF00528'],['PF00528'],['PF00005'],['PF00497'],['PF00497'],"['PF00126', 'PF03466']",['PF01810'],[],['PF00266'],[],['PF00581'],['PF13561'],"['PF00126', 'PF03466']","['PF02798', 'PF00043']","['PF14834', 'PF13417']","['PF00126', 'PF03466']",['PF03788'],['PF04172'],"['PF00392', 'PF00155']"
MGYP000742945948,MGYP000680182110,MGYP000120774133,MGYP003721481173,MGYP000232812847,MGYP000147297100,MGYP000244624314,MGYP000512939624,MGYP000554223130,MGYP000100123109,,,,,,,,,,,MGYP000489352287,"['PF12911', 'PF00528']","['PF00528', 'PF19300']",['PF00496'],[],[],[],[],['PF00886'],[],[],[],[],[],[],[],[],[],[],[],[]
MGYP000724613959,MGYP000084730662,MGYP003964990633,MGYP003964990659,MGYP000742306990,MGYP003964990719,MGYP000299996420,MGYP003964990803,MGYP000170246150,MGYP000294098344,MGYP003964990913,MGYP000376658799,MGYP003978135483,MGYP000662695026,MGYP003964991041,MGYP003964991065,MGYP003964991107,MGYP003964991143,MGYP003964991177,MGYP003964991191,MGYP000503456973,[],[],"['CL0186', 'CL0186']",['PF05662'],[],[],[],['PF20387'],[],[],[],[],[],[],['CL0268'],['PF13385'],[],"['CL0004', 'PF13385']",[],[]
MGYP003964991199,MGYP003964991191,MGYP003964991177,MGYP003964991143,MGYP003964991107,MGYP003964991065,MGYP003964991041,MGYP000662695026,MGYP000376658799,MGYP003964990913,MGYP000294098344,MGYP000170246150,MGYP003964990803,MGYP000299996420,MGYP003964990719,MGYP000742306990,MGYP003964990659,,,,MGYP000503456973,[],[],[],"['CL0004', 'PF13385']",[],['PF13385'],['CL0268'],[],[],[],[],[],['PF20387'],[],[],[],['PF05662'],[],[],[]
MGYP000663482579,MGYP000171201764,MGYP000011855640,MGYP000321449862,MGYP000003203765,MGYP000082819729,MGYP000268448594,MGYP000368631141,MGYP000141800370,MGYP000477957110,MGYP000406933651,MGYP001630794132,MGYP000583864486,MGYP000693005060,MGYP000112061611,MGYP000465908002,MGYP000012048194,MGYP000230033436,MGYP000619277299,MGYP001509596991,MGYP000504493363,"['PF16697', 'CL0167']",[],"['PF18565', 'PF16355', 'PF02836', 'PF02837', 'PF00703']",['PF00365'],['PF00884'],[],['PF10250'],[],[],[],[],[],"['PF05681', 'PF05683']",['PF01209'],['PF01259'],[],['PF13604'],"['PF14815', 'PF00730']","['PF06082', 'PF06082']",[]
MGYP000607454647,MGYP000058981617,MGYP000610944136,MGYP000106157889,MGYP000360619488,MGYP000061931298,MGYP000001183400,MGYP000743157814,MGYP000548534709,MGYP001657904607,MGYP000215325119,MGYP001657904618,MGYP000038400624,MGYP001657904628,MGYP000020641125,MGYP000038400605,MGYP000642835495,MGYP000448361632,MGYP001636878439,MGYP000536674023,MGYP000507254597,['PF04976'],['PF12838'],"['PF13187', 'PF12801', 'PF12801']","['PF13187', 'PF12838', 'CL0344']","['PF12229', 'PF03734']",['PF00892'],['PF00196'],['PF00890'],['PF03109'],"['PF13784', 'PF02661']",['PF03232'],"['PF08349', 'PF03851']",['PF09335'],"['PF00672', 'PF02518', 'PF00512']","['PF00486', 'PF00072']",['PF00582'],['PF14249'],"['CL0315', 'PF02517', 'PF02517']",['CL0167'],"['CL0029', 'PF13474', 'PF04397', 'PF13577']"
MGYP001773693268,MGYP000159344176,MGYP000707779368,MGYP001639250932,MGYP000518979043,MGYP000153716654,MGYP000409873081,MGYP000743157814,MGYP000318851679,MGYP000053079277,MGYP000215325119,MGYP000681279556,MGYP000038400624,MGYP000592819107,MGYP000020641125,MGYP000710768019,MGYP000642835495,MGYP000448361632,MGYP001636878439,MGYP001773693551,MGYP000507254597,['PF12838'],"['PF13187', 'PF12801', 'PF12801']","['PF12838', 'PF13187', 'CL0344']",[],"['PF12229', 'PF03734']",['PF00892'],['PF00196'],['PF00890'],['PF03109'],['PF02661'],['PF03232'],"['PF03851', 'PF08349']",['PF09335'],"['PF02518', 'PF00512', 'PF00672']","['PF00486', 'PF00072']",['PF00582'],['PF14249'],"['CL0315', 'PF02517', 'PF02517']",['CL0167'],"['PF13577', 'PF04397', 'CL0029', 'PF13474']"
MGYP000017693234,MGYP001778107280,MGYP000707779368,MGYP001639250932,MGYP000518979043,MGYP000153716654,MGYP000409873081,MGYP000743157814,MGYP000548534709,MGYP000053079277,MGYP000215325119,MGYP000681279556,MGYP000038400624,MGYP000189064748,MGYP000020641125,MGYP000038400605,MGYP000642835495,MGYP000448361632,MGYP001636878439,MGYP000536674023,MGYP000507254597,['PF12838'],"['PF13187', 'PF12801', 'PF12801']","['PF12838', 'PF13187', 'CL0344']",[],"['PF12229', 'PF03734']",['PF00892'],['PF00196'],['PF00890'],['PF03109'],['PF02661'],['PF03232'],"['PF03851', 'PF08349']",['PF09335'],"['PF02518', 'PF00512', 'PF00672']","['PF00486', 'PF00072']",['PF00582'],['PF14249'],"['CL0315', 'PF02517', 'PF02517']",['CL0167'],"['CL0029', 'PF13474', 'PF04397', 'PF13577']"
MGYP000536674023,MGYP001636878439,MGYP000448361632,MGYP000642835495,MGYP000038400605,MGYP000020641125,MGYP000189064748,MGYP000038400624,MGYP000681279556,MGYP000215325119,MGYP000053079277,MGYP000548534709,MGYP000743157814,MGYP000409873081,MGYP000153716654,MGYP003083248788,MGYP000106157889,MGYP000610944136,MGYP000058981617,MGYP000545863510,MGYP000507254597,"['CL0029', 'PF13474', 'PF04397', 'PF13577']",['CL0167'],"['CL0315', 'PF02517', 'PF02517']",['PF14249'],['PF00582'],"['PF00486', 'PF00072']","['PF02518', 'PF00512', 'PF00672']",['PF09335'],"['PF03851', 'PF08349']",['PF03232'],['PF02661'],['PF03109'],['PF00890'],['PF00196'],['PF00892'],[],"['PF13187', 'PF12838', 'CL0344']","['PF13187', 'PF12801', 'PF12801']",['PF12838'],['PF04976']
,,,MGYP001639250932,MGYP000518979043,MGYP000153716654,MGYP000409873081,MGYP000743157814,MGYP000548534709,MGYP000053079277,MGYP000215325119,MGYP001260767622,MGYP003088434292,MGYP000038400624,MGYP000189064748,MGYP000020641125,MGYP000038400605,MGYP000642835495,MGYP000448361632,MGYP001636878439,MGYP000507254597,[],[],[],[],"['PF12229', 'PF03734']",['PF00892'],['PF00196'],['PF00890'],['PF03109'],['PF02661'],['PF03232'],['PF08349'],[],['PF09335'],"['PF02518', 'PF00512', 'PF00672']","['PF00486', 'PF00072']",['PF00582'],['PF14249'],"['CL0315', 'PF02517', 'PF02517']",['CL0167']
MGYP000536674023,MGYP001636878439,MGYP000448361632,MGYP000642835495,MGYP000038400605,MGYP000020641125,MGYP000189064748,MGYP000038400624,MGYP000681279556,MGYP000215325119,MGYP000053079277,MGYP000548534709,MGYP000743157814,MGYP000409873081,MGYP000153716654,MGYP003083248788,MGYP000106157889,MGYP000610944136,MGYP000058981617,MGYP000545863510,MGYP000507254597,"['CL0029', 'PF13474', 'PF04397', 'PF13577']",['CL0167'],"['CL0315', 'PF02517', 'PF02517']",['PF14249'],['PF00582'],"['PF00486', 'PF00072']","['PF02518', 'PF00512', 'PF00672']",['PF09335'],"['PF03851', 'PF08349']",['PF03232'],['PF02661'],['PF03109'],['PF00890'],['PF00196'],['PF00892'],[],"['PF13187', 'PF12838', 'CL0344']","['PF13187', 'PF12801', 'PF12801']",['PF12838'],['PF04976']
